QuestionStartTime,SurveyQuestion,Answer
11:52:34,New ideas and projects sometimes distract me from previous ones.,'Not much like me'
11:52:39,Setbacks don’t discourage me. I don’t give up easily.,'Mostly like me'
11:52:43,I often set a goal but later choose to pursue a different one.,'Not much like me'
11:52:46,I am a hard worker.,'Very much like me'
11:52:52,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Not much like me'
11:52:55,I finish whatever I begin.,'Very much like me'
11:52:58,My interests change from year to year.,'Not much like me'
11:53:01,I am diligent. I never give up.,'Mostly like me'
11:53:08,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Not much like me'
11:53:13,I have overcome setbacks to conquer an important challenge.,'Somewhat like me'
11:53:30,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'6'
11:53:34,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'6'
11:53:44,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'6'
11:53:52,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'2'
11:54:04,Indicate the extent you have felt INTERESTED over the past week,'4 - Quite a bit'
11:54:07,Indicate the extent you have felt DISTRESSED over the past week,'2 - A little'
11:54:12,Indicate the extent you have felt IRRITABLE over the past week,'1 - Very slightly or not at all'
11:54:15,Indicate the extent you have felt ALERT over the past week,'3 - Moderately'
11:54:16,Indicate the extent you have felt ASHAMED over the past week,'1 - Very slightly or not at all'
11:54:19,Indicate the extent you have felt INSPIRED over the past week,'4 - Quite a bit'
11:54:22,Indicate the extent you have felt NERVOUS over the past week,'2 - A little'
11:54:24,Indicate the extent you have felt DETERMINED over the past week,'4 - Quite a bit'
11:54:25,Indicate the extent you have felt ATTENTIVE over the past week,'4 - Quite a bit'
11:54:29,Indicate the extent you have felt JITTERY over the past week,'3 - Moderately'
11:54:31,Indicate the extent you have felt ACTIVE over the past week,'4 - Quite a bit'
11:54:33,Indicate the extent you have felt AFRAID over the past week,'2 - A little'
11:54:35,Indicate the extent you have felt EXCITED over the past week,'4 - Quite a bit'
11:54:37,Indicate the extent you have felt UPSET over the past week,'1 - Very slightly or not at all'
11:54:40,Indicate the extent you have felt STRONG over the past week,'4 - Quite a bit'
11:54:41,Indicate the extent you have felt GUILTY over the past week,'1 - Very slightly or not at all'
11:54:43,Indicate the extent you have felt SCARED over the past week,'1 - Very slightly or not at all'
11:54:45,Indicate the extent you have felt HOSTILE over the past week,'1 - Very slightly or not at all'
11:54:46,Indicate the extent you have felt ENTHUSIASTIC over the past week,'4 - Quite a bit'
11:54:48,Indicate the extent you have felt PROUD over the past week,'4 - Quite a bit'
11:54:56, At the end of my work day I am exhausted,'4 - Generally'
11:55:01,"I find it hard to show interest in other people, when I have just come home from work",'3 - Sometimes'
11:55:06,It takes me over an hour before I am fully recovered after a work day,'4 - Generally'
