QuestionStartTime,SurveyQuestion,Answer
15:40:45,New ideas and projects sometimes distract me from previous ones.,'Mostly like me'
15:41:09,Setbacks don’t discourage me. I don’t give up easily.,'Mostly like me'
15:41:19,I often set a goal but later choose to pursue a different one.,'Not much like me'
15:41:25,I am a hard worker.,'Very much like me'
15:41:35,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Not like me at all'
15:41:42,I finish whatever I begin.,'Not much like me'
15:41:52,My interests change from year to year.,'Not much like me'
15:41:59,I am diligent. I never give up.,'Very much like me'
15:42:07,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Not much like me'
15:42:32,I have overcome setbacks to conquer an important challenge.,'Mostly like me'
15:42:49,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'7'
15:42:59,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'7'
15:43:14,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'1'
15:43:23,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'1'
15:43:39,Indicate the extent you have felt INTERESTED over the past week,'5 - Extremely'
15:43:46,Indicate the extent you have felt DISTRESSED over the past week,'5 - Extremely'
15:43:59,Indicate the extent you have felt IRRITABLE over the past week,'4 - Quite a bit'
15:44:09,Indicate the extent you have felt ALERT over the past week,'2 - A little'
15:44:13,Indicate the extent you have felt ASHAMED over the past week,'1 - Very slightly or not at all'
15:44:18,Indicate the extent you have felt INSPIRED over the past week,'5 - Extremely'
15:44:24,Indicate the extent you have felt NERVOUS over the past week,'4 - Quite a bit'
15:44:35,Indicate the extent you have felt DETERMINED over the past week,'4 - Quite a bit'
15:44:40,Indicate the extent you have felt ATTENTIVE over the past week,'4 - Quite a bit'
15:44:51,Indicate the extent you have felt JITTERY over the past week,'3 - Moderately'
15:44:55,Indicate the extent you have felt ACTIVE over the past week,'5 - Extremely'
15:45:02,Indicate the extent you have felt AFRAID over the past week,'4 - Quite a bit'
15:45:06,Indicate the extent you have felt EXCITED over the past week,'5 - Extremely'
15:45:17,Indicate the extent you have felt UPSET over the past week,'3 - Moderately'
15:45:25,Indicate the extent you have felt STRONG over the past week,'2 - A little'
15:45:31,Indicate the extent you have felt GUILTY over the past week,'1 - Very slightly or not at all'
15:45:38,Indicate the extent you have felt SCARED over the past week,'1 - Very slightly or not at all'
15:45:45,Indicate the extent you have felt HOSTILE over the past week,'3 - Moderately'
15:45:55,Indicate the extent you have felt ENTHUSIASTIC over the past week,'5 - Extremely'
15:46:03,Indicate the extent you have felt PROUD over the past week,'2 - A little'
15:46:41, At the end of my work day I am exhausted,'3 - Sometimes'
15:46:55,"I find it hard to show interest in other people, when I have just come home from work",'2 - Rarely'
15:47:05,It takes me over an hour before I am fully recovered after a work day,'1 - Never'
