QuestionStartTime,SurveyQuestion,Answer
11:52:32,New ideas and projects sometimes distract me from previous ones.,'Mostly like me'
11:52:47,Setbacks don’t discourage me. I don’t give up easily.,'Very much like me'
11:52:56,I often set a goal but later choose to pursue a different one.,'Not like me at all'
11:53:00,I am a hard worker.,'Very much like me'
11:53:10,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Not like me at all'
11:53:30,I finish whatever I begin.,'Very much like me'
11:53:35,My interests change from year to year.,'Not much like me'
11:53:40,I am diligent. I never give up.,'Mostly like me'
11:53:47,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Not much like me'
11:53:55,I have overcome setbacks to conquer an important challenge.,'Mostly like me'
11:54:08,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'6'
11:54:15,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'6'
11:54:26,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'5'
11:54:38,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'2'
11:55:00,Indicate the extent you have felt INTERESTED over the past week,'4 - Quite a bit'
11:55:11,Indicate the extent you have felt DISTRESSED over the past week,'3 - Moderately'
11:55:17,Indicate the extent you have felt IRRITABLE over the past week,'1 - Very slightly or not at all'
11:55:24,Indicate the extent you have felt ALERT over the past week,'2 - A little'
11:55:28,Indicate the extent you have felt ASHAMED over the past week,'1 - Very slightly or not at all'
11:55:32,Indicate the extent you have felt INSPIRED over the past week,'4 - Quite a bit'
11:55:35,Indicate the extent you have felt NERVOUS over the past week,'2 - A little'
11:55:40,Indicate the extent you have felt DETERMINED over the past week,'5 - Extremely'
11:55:43,Indicate the extent you have felt ATTENTIVE over the past week,'5 - Extremely'
11:55:48,Indicate the extent you have felt JITTERY over the past week,'3 - Moderately'
11:55:52,Indicate the extent you have felt ACTIVE over the past week,'3 - Moderately'
11:55:55,Indicate the extent you have felt AFRAID over the past week,'2 - A little'
11:56:00,Indicate the extent you have felt EXCITED over the past week,'4 - Quite a bit'
11:56:05,Indicate the extent you have felt UPSET over the past week,'1 - Very slightly or not at all'
11:56:10,Indicate the extent you have felt STRONG over the past week,'4 - Quite a bit'
11:56:14,Indicate the extent you have felt GUILTY over the past week,'1 - Very slightly or not at all'
11:56:19,Indicate the extent you have felt SCARED over the past week,'2 - A little'
11:56:21,Indicate the extent you have felt HOSTILE over the past week,'1 - Very slightly or not at all'
11:56:25,Indicate the extent you have felt ENTHUSIASTIC over the past week,'4 - Quite a bit'
11:56:28,Indicate the extent you have felt PROUD over the past week,'4 - Quite a bit'
11:56:36, At the end of my work day I am exhausted,'4 - Generally'
11:56:44,"I find it hard to show interest in other people, when I have just come home from work",'2 - Rarely'
11:56:54,It takes me over an hour before I am fully recovered after a work day,'3 - Sometimes'
