QuestionStartTime,SurveyQuestion,Answer
13:54:09,New ideas and projects sometimes distract me from previous ones.,'Mostly like me'
13:54:13,Setbacks don’t discourage me. I don’t give up easily.,'Somewhat like me'
13:54:19,I often set a goal but later choose to pursue a different one.,'Mostly like me'
13:54:20,I am a hard worker.,'Very much like me'
13:54:24,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Mostly like me'
13:54:26,I finish whatever I begin.,'Very much like me'
13:54:29,My interests change from year to year.,'Very much like me'
13:54:31,I am diligent. I never give up.,'Very much like me'
13:54:35,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Very much like me'
13:54:38,I have overcome setbacks to conquer an important challenge.,'Very much like me'
13:54:44,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'6'
13:54:49,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'6'
13:55:03,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'6'
13:55:14,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'5'
13:55:50,Indicate the extent you have felt INTERESTED over the past week,'5 - Extremely'
13:55:54,Indicate the extent you have felt DISTRESSED over the past week,'1 - Very slightly or not at all'
13:55:58,Indicate the extent you have felt IRRITABLE over the past week,'2 - A little'
13:55:59,Indicate the extent you have felt ALERT over the past week,'1 - Very slightly or not at all'
13:56:01,Indicate the extent you have felt ASHAMED over the past week,'1 - Very slightly or not at all'
13:56:03,Indicate the extent you have felt INSPIRED over the past week,'4 - Quite a bit'
13:56:17,Indicate the extent you have felt NERVOUS over the past week,'1 - Very slightly or not at all'
13:56:19,Indicate the extent you have felt DETERMINED over the past week,'5 - Extremely'
13:56:20,Indicate the extent you have felt ATTENTIVE over the past week,'4 - Quite a bit'
13:56:22,Indicate the extent you have felt JITTERY over the past week,'3 - Moderately'
13:56:24,Indicate the extent you have felt ACTIVE over the past week,'4 - Quite a bit'
13:56:25,Indicate the extent you have felt AFRAID over the past week,'1 - Very slightly or not at all'
13:56:26,Indicate the extent you have felt EXCITED over the past week,'4 - Quite a bit'
13:56:27,Indicate the extent you have felt UPSET over the past week,'1 - Very slightly or not at all'
13:56:29,Indicate the extent you have felt STRONG over the past week,'5 - Extremely'
13:56:30,Indicate the extent you have felt GUILTY over the past week,'1 - Very slightly or not at all'
13:56:31,Indicate the extent you have felt SCARED over the past week,'1 - Very slightly or not at all'
13:56:32,Indicate the extent you have felt HOSTILE over the past week,'1 - Very slightly or not at all'
13:56:34,Indicate the extent you have felt ENTHUSIASTIC over the past week,'4 - Quite a bit'
13:56:35,Indicate the extent you have felt PROUD over the past week,'4 - Quite a bit'
13:56:40, At the end of my work day I am exhausted,'5 - Always'
13:56:56,"I find it hard to show interest in other people, when I have just come home from work",'3 - Sometimes'
13:57:11,It takes me over an hour before I am fully recovered after a work day,'5 - Always'
