QuestionStartTime,SurveyQuestion,Answer
14:36:00,New ideas and projects sometimes distract me from previous ones.,'Not much like me'
14:36:07,Setbacks don’t discourage me. I don’t give up easily.,'Mostly like me'
14:36:13,I often set a goal but later choose to pursue a different one.,'Not much like me'
14:36:15,I am a hard worker.,'Mostly like me'
14:36:23,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Not much like me'
14:36:29,I finish whatever I begin.,'Very much like me'
14:36:33,My interests change from year to year.,'Not much like me'
14:36:37,I am diligent. I never give up.,'Mostly like me'
14:36:46,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Not much like me'
14:37:00,I have overcome setbacks to conquer an important challenge.,'Somewhat like me'
14:37:32,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'6'
14:37:40,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'6'
14:37:55,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'6'
14:38:13,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'4'
14:38:40,Indicate the extent you have felt INTERESTED over the past week,'4 - Quite a bit'
14:39:09,Indicate the extent you have felt DISTRESSED over the past week,'2 - A little'
14:39:21,Indicate the extent you have felt IRRITABLE over the past week,'2 - A little'
14:39:27,Indicate the extent you have felt ALERT over the past week,'2 - A little'
14:39:35,Indicate the extent you have felt ASHAMED over the past week,'2 - A little'
14:39:40,Indicate the extent you have felt INSPIRED over the past week,'5 - Extremely'
14:39:45,Indicate the extent you have felt NERVOUS over the past week,'4 - Quite a bit'
14:39:50,Indicate the extent you have felt DETERMINED over the past week,'5 - Extremely'
14:39:54,Indicate the extent you have felt ATTENTIVE over the past week,'5 - Extremely'
14:40:28,Indicate the extent you have felt JITTERY over the past week,'3 - Moderately'
14:40:35,Indicate the extent you have felt ACTIVE over the past week,'5 - Extremely'
14:40:40,Indicate the extent you have felt AFRAID over the past week,'3 - Moderately'
14:40:42,Indicate the extent you have felt EXCITED over the past week,'4 - Quite a bit'
14:40:47,Indicate the extent you have felt UPSET over the past week,'4 - Quite a bit'
14:40:49,Indicate the extent you have felt STRONG over the past week,'4 - Quite a bit'
14:40:52,Indicate the extent you have felt GUILTY over the past week,'4 - Quite a bit'
14:40:54,Indicate the extent you have felt SCARED over the past week,'2 - A little'
14:40:58,Indicate the extent you have felt HOSTILE over the past week,'1 - Very slightly or not at all'
14:41:01,Indicate the extent you have felt ENTHUSIASTIC over the past week,'4 - Quite a bit'
14:41:04,Indicate the extent you have felt PROUD over the past week,'2 - A little'
14:41:16, At the end of my work day I am exhausted,'3 - Sometimes'
14:41:26,"I find it hard to show interest in other people, when I have just come home from work",'2 - Rarely'
14:41:32,It takes me over an hour before I am fully recovered after a work day,'4 - Generally'
