QuestionStartTime,SurveyQuestion,Answer
15:13:37,New ideas and projects sometimes distract me from previous ones.,'Very much like me'
15:13:54,Setbacks don’t discourage me. I don’t give up easily.,'Not much like me'
15:14:00,I often set a goal but later choose to pursue a different one.,'Not much like me'
15:14:02,I am a hard worker.,'Very much like me'
15:14:11,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Not much like me'
15:14:14,I finish whatever I begin.,'Very much like me'
15:14:22,My interests change from year to year.,'Not much like me'
15:14:28,I am diligent. I never give up.,'Very much like me'
15:14:34,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Not much like me'
15:14:41,I have overcome setbacks to conquer an important challenge.,'Very much like me'
15:14:49,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'3'
15:15:00,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'3'
15:15:08,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'4'
15:15:18,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'3'
15:15:31,Indicate the extent you have felt INTERESTED over the past week,'5 - Extremely'
15:15:35,Indicate the extent you have felt DISTRESSED over the past week,'3 - Moderately'
15:15:41,Indicate the extent you have felt IRRITABLE over the past week,'2 - A little'
15:15:44,Indicate the extent you have felt ALERT over the past week,'4 - Quite a bit'
15:15:48,Indicate the extent you have felt ASHAMED over the past week,'1 - Very slightly or not at all'
15:15:51,Indicate the extent you have felt INSPIRED over the past week,'4 - Quite a bit'
15:15:54,Indicate the extent you have felt NERVOUS over the past week,'3 - Moderately'
15:15:58,Indicate the extent you have felt DETERMINED over the past week,'5 - Extremely'
15:16:04,Indicate the extent you have felt JITTERY over the past week,'3 - Moderately'
15:16:07,Indicate the extent you have felt ACTIVE over the past week,'4 - Quite a bit'
15:16:09,Indicate the extent you have felt AFRAID over the past week,'2 - A little'
15:16:12,Indicate the extent you have felt EXCITED over the past week,'2 - A little'
15:16:15,Indicate the extent you have felt UPSET over the past week,'1 - Very slightly or not at all'
15:16:18,Indicate the extent you have felt STRONG over the past week,'5 - Extremely'
15:16:21,Indicate the extent you have felt GUILTY over the past week,'1 - Very slightly or not at all'
15:16:23,Indicate the extent you have felt SCARED over the past week,'1 - Very slightly or not at all'
15:16:25,Indicate the extent you have felt HOSTILE over the past week,'2 - A little'
15:16:28,Indicate the extent you have felt ENTHUSIASTIC over the past week,'4 - Quite a bit'
15:16:31,Indicate the extent you have felt PROUD over the past week,'3 - Moderately'
15:16:40, At the end of my work day I am exhausted,'2 - Rarely'
15:16:50,"I find it hard to show interest in other people, when I have just come home from work",'3 - Sometimes'
15:17:01,It takes me over an hour before I am fully recovered after a work day,'1 - Never'
