QuestionStartTime,SurveyQuestion,Answer
13:58:01,New ideas and projects sometimes distract me from previous ones.,'Mostly like me'
13:58:08,Setbacks don’t discourage me. I don’t give up easily.,'Mostly like me'
13:58:15,I often set a goal but later choose to pursue a different one.,'Not much like me'
13:58:18,I am a hard worker.,'Very much like me'
13:58:25,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Not much like me'
13:58:28,I finish whatever I begin.,'Very much like me'
13:58:33,My interests change from year to year.,'Somewhat like me'
13:58:36,I am diligent. I never give up.,'Very much like me'
13:58:43,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Not much like me'
13:58:47,I have overcome setbacks to conquer an important challenge.,'Very much like me'
13:58:54,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'6'
13:59:00,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'5'
13:59:10,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'5'
13:59:18,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'2'
13:59:28,Indicate the extent you have felt INTERESTED over the past week,'5 - Extremely'
13:59:34,Indicate the extent you have felt DISTRESSED over the past week,'3 - Moderately'
13:59:40,Indicate the extent you have felt IRRITABLE over the past week,'1 - Very slightly or not at all'
13:59:44,Indicate the extent you have felt ALERT over the past week,'2 - A little'
13:59:46,Indicate the extent you have felt ASHAMED over the past week,'1 - Very slightly or not at all'
13:59:50,Indicate the extent you have felt INSPIRED over the past week,'4 - Quite a bit'
13:59:53,Indicate the extent you have felt NERVOUS over the past week,'2 - A little'
13:59:56,Indicate the extent you have felt DETERMINED over the past week,'4 - Quite a bit'
13:59:58,Indicate the extent you have felt ATTENTIVE over the past week,'5 - Extremely'
14:00:02,Indicate the extent you have felt JITTERY over the past week,'3 - Moderately'
14:00:05,Indicate the extent you have felt ACTIVE over the past week,'3 - Moderately'
14:00:07,Indicate the extent you have felt AFRAID over the past week,'1 - Very slightly or not at all'
14:00:10,Indicate the extent you have felt EXCITED over the past week,'4 - Quite a bit'
14:00:13,Indicate the extent you have felt UPSET over the past week,'2 - A little'
14:00:17,Indicate the extent you have felt STRONG over the past week,'3 - Moderately'
14:00:19,Indicate the extent you have felt GUILTY over the past week,'1 - Very slightly or not at all'
14:00:20,Indicate the extent you have felt SCARED over the past week,'1 - Very slightly or not at all'
14:00:22,Indicate the extent you have felt HOSTILE over the past week,'1 - Very slightly or not at all'
14:00:24,Indicate the extent you have felt ENTHUSIASTIC over the past week,'4 - Quite a bit'
14:00:26,Indicate the extent you have felt PROUD over the past week,'3 - Moderately'
14:00:34, At the end of my work day I am exhausted,'3 - Sometimes'
14:00:44,"I find it hard to show interest in other people, when I have just come home from work",'3 - Sometimes'
14:00:50,It takes me over an hour before I am fully recovered after a work day,'4 - Generally'
