QuestionStartTime,SurveyQuestion,Answer
14:13:20,New ideas and projects sometimes distract me from previous ones.,'Not much like me'
14:13:25,Setbacks don’t discourage me. I don’t give up easily.,'Mostly like me'
14:13:32,I often set a goal but later choose to pursue a different one.,'Not much like me'
14:13:34,I am a hard worker.,'Very much like me'
14:13:44,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Not much like me'
14:13:46,I finish whatever I begin.,'Very much like me'
14:13:50,My interests change from year to year.,'Not much like me'
14:13:56,I am diligent. I never give up.,'Mostly like me'
14:14:03,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Not much like me'
14:14:13,I have overcome setbacks to conquer an important challenge.,'Mostly like me'
14:14:20,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'7'
14:14:30,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'6'
14:14:42,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'7'
14:14:51,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'2'
14:15:00,Indicate the extent you have felt INTERESTED over the past week,'5 - Extremely'
14:15:08,Indicate the extent you have felt DISTRESSED over the past week,'2 - A little'
14:15:12,Indicate the extent you have felt IRRITABLE over the past week,'2 - A little'
14:15:14,Indicate the extent you have felt ALERT over the past week,'5 - Extremely'
14:15:17,Indicate the extent you have felt ASHAMED over the past week,'2 - A little'
14:15:20,Indicate the extent you have felt INSPIRED over the past week,'5 - Extremely'
14:15:22,Indicate the extent you have felt NERVOUS over the past week,'2 - A little'
14:15:25,Indicate the extent you have felt DETERMINED over the past week,'5 - Extremely'
14:15:27,Indicate the extent you have felt ATTENTIVE over the past week,'5 - Extremely'
14:15:30,Indicate the extent you have felt JITTERY over the past week,'1 - Very slightly or not at all'
14:15:33,Indicate the extent you have felt ACTIVE over the past week,'3 - Moderately'
14:15:34,Indicate the extent you have felt AFRAID over the past week,'1 - Very slightly or not at all'
14:15:37,Indicate the extent you have felt EXCITED over the past week,'4 - Quite a bit'
14:15:39,Indicate the extent you have felt UPSET over the past week,'1 - Very slightly or not at all'
14:15:42,Indicate the extent you have felt STRONG over the past week,'3 - Moderately'
14:15:44,Indicate the extent you have felt GUILTY over the past week,'1 - Very slightly or not at all'
14:15:46,Indicate the extent you have felt SCARED over the past week,'1 - Very slightly or not at all'
14:15:48,Indicate the extent you have felt HOSTILE over the past week,'1 - Very slightly or not at all'
14:15:50,Indicate the extent you have felt ENTHUSIASTIC over the past week,'3 - Moderately'
14:15:53,Indicate the extent you have felt PROUD over the past week,'1 - Very slightly or not at all'
14:16:01, At the end of my work day I am exhausted,'3 - Sometimes'
14:16:09,"I find it hard to show interest in other people, when I have just come home from work",'4 - Generally'
14:16:13,It takes me over an hour before I am fully recovered after a work day,'3 - Sometimes'
