QuestionStartTime,SurveyQuestion,Answer
16:53:28,New ideas and projects sometimes distract me from previous ones.,'Mostly like me'
16:53:38,Setbacks don’t discourage me. I don’t give up easily.,'Very much like me'
16:53:43,I often set a goal but later choose to pursue a different one.,'Somewhat like me'
16:53:46,I am a hard worker.,'Very much like me'
16:53:53,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Not much like me'
16:53:56,I finish whatever I begin.,'Mostly like me'
16:54:00,My interests change from year to year.,'Mostly like me'
16:54:03,I am diligent. I never give up.,'Very much like me'
16:54:08,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Mostly like me'
16:54:11,I have overcome setbacks to conquer an important challenge.,'Very much like me'
16:54:18,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'6'
16:54:24,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'6'
16:54:33,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'6'
16:54:43,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'2'
16:54:52,Indicate the extent you have felt INTERESTED over the past week,'5 - Extremely'
16:54:59,Indicate the extent you have felt DISTRESSED over the past week,'3 - Moderately'
16:55:02,Indicate the extent you have felt IRRITABLE over the past week,'1 - Very slightly or not at all'
16:55:04,Indicate the extent you have felt ALERT over the past week,'1 - Very slightly or not at all'
16:55:06,Indicate the extent you have felt ASHAMED over the past week,'1 - Very slightly or not at all'
16:55:09,Indicate the extent you have felt INSPIRED over the past week,'4 - Quite a bit'
16:55:10,Indicate the extent you have felt NERVOUS over the past week,'1 - Very slightly or not at all'
16:55:12,Indicate the extent you have felt DETERMINED over the past week,'5 - Extremely'
16:55:15,Indicate the extent you have felt ATTENTIVE over the past week,'4 - Quite a bit'
16:55:19,Indicate the extent you have felt JITTERY over the past week,'4 - Quite a bit'
16:55:29,Indicate the extent you have felt ACTIVE over the past week,'5 - Extremely'
16:55:31,Indicate the extent you have felt AFRAID over the past week,'1 - Very slightly or not at all'
16:55:34,Indicate the extent you have felt EXCITED over the past week,'3 - Moderately'
16:55:35,Indicate the extent you have felt UPSET over the past week,'1 - Very slightly or not at all'
16:55:38,Indicate the extent you have felt STRONG over the past week,'5 - Extremely'
16:55:40,Indicate the extent you have felt GUILTY over the past week,'1 - Very slightly or not at all'
16:55:43,Indicate the extent you have felt SCARED over the past week,'3 - Moderately'
16:55:44,Indicate the extent you have felt HOSTILE over the past week,'1 - Very slightly or not at all'
16:55:46,Indicate the extent you have felt ENTHUSIASTIC over the past week,'4 - Quite a bit'
16:55:48,Indicate the extent you have felt PROUD over the past week,'5 - Extremely'
16:55:55, At the end of my work day I am exhausted,'4 - Generally'
16:56:10,"I find it hard to show interest in other people, when I have just come home from work",'2 - Rarely'
16:56:16,It takes me over an hour before I am fully recovered after a work day,'4 - Generally'
