QuestionStartTime,SurveyQuestion,Answer
11:27:58,New ideas and projects sometimes distract me from previous ones.,'Somewhat like me'
11:28:10,Setbacks don’t discourage me. I don’t give up easily.,'Mostly like me'
11:28:19,I often set a goal but later choose to pursue a different one.,'Not much like me'
11:28:23,I am a hard worker.,'Mostly like me'
11:28:42,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Somewhat like me'
11:28:51,I finish whatever I begin.,'Mostly like me'
11:28:56,My interests change from year to year.,'Not much like me'
11:28:59,I am diligent. I never give up.,'Mostly like me'
11:29:08,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Not much like me'
11:29:17,I have overcome setbacks to conquer an important challenge.,'Somewhat like me'
11:29:28,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'6'
11:29:41,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'5'
11:29:57,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'6'
11:30:12,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'1'
11:30:27,Indicate the extent you have felt INTERESTED over the past week,'4 - Quite a bit'
11:30:33,Indicate the extent you have felt DISTRESSED over the past week,'3 - Moderately'
11:30:37,Indicate the extent you have felt IRRITABLE over the past week,'2 - A little'
11:30:40,Indicate the extent you have felt ALERT over the past week,'4 - Quite a bit'
11:30:43,Indicate the extent you have felt ASHAMED over the past week,'1 - Very slightly or not at all'
11:30:45,Indicate the extent you have felt INSPIRED over the past week,'4 - Quite a bit'
11:30:48,Indicate the extent you have felt NERVOUS over the past week,'2 - A little'
11:30:52,Indicate the extent you have felt DETERMINED over the past week,'3 - Moderately'
11:30:56,Indicate the extent you have felt ATTENTIVE over the past week,'3 - Moderately'
11:30:59,Indicate the extent you have felt JITTERY over the past week,'2 - A little'
11:31:02,Indicate the extent you have felt ACTIVE over the past week,'4 - Quite a bit'
11:31:04,Indicate the extent you have felt AFRAID over the past week,'2 - A little'
11:31:08,Indicate the extent you have felt EXCITED over the past week,'4 - Quite a bit'
11:31:11,Indicate the extent you have felt UPSET over the past week,'1 - Very slightly or not at all'
11:31:14,Indicate the extent you have felt STRONG over the past week,'4 - Quite a bit'
11:31:16,Indicate the extent you have felt GUILTY over the past week,'1 - Very slightly or not at all'
11:31:18,Indicate the extent you have felt SCARED over the past week,'1 - Very slightly or not at all'
11:31:20,Indicate the extent you have felt HOSTILE over the past week,'1 - Very slightly or not at all'
11:31:25,Indicate the extent you have felt ENTHUSIASTIC over the past week,'4 - Quite a bit'
11:31:28,Indicate the extent you have felt PROUD over the past week,'3 - Moderately'
