QuestionStartTime,SurveyQuestion,Answer
15:00:49,New ideas and projects sometimes distract me from previous ones.,'Somewhat like me'
15:00:56,Setbacks don’t discourage me. I don’t give up easily.,'Somewhat like me'
15:01:09,I often set a goal but later choose to pursue a different one.,'Not much like me'
15:01:12,I am a hard worker.,'Mostly like me'
15:01:24,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Not much like me'
15:01:27,I finish whatever I begin.,'Mostly like me'
15:01:32,My interests change from year to year.,'Somewhat like me'
15:01:39,I am diligent. I never give up.,'Somewhat like me'
15:01:48,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Not much like me'
15:01:55,I have overcome setbacks to conquer an important challenge.,'Not much like me'
15:02:12,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'6'
15:02:27,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'5'
15:02:57,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'6'
15:03:24,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'2'
15:03:41,Indicate the extent you have felt INTERESTED over the past week,'4 - Quite a bit'
15:03:48,Indicate the extent you have felt DISTRESSED over the past week,'3 - Moderately'
15:03:53,Indicate the extent you have felt IRRITABLE over the past week,'2 - A little'
15:03:58,Indicate the extent you have felt ALERT over the past week,'3 - Moderately'
15:04:03,Indicate the extent you have felt ASHAMED over the past week,'1 - Very slightly or not at all'
15:04:07,Indicate the extent you have felt INSPIRED over the past week,'3 - Moderately'
15:04:11,Indicate the extent you have felt NERVOUS over the past week,'2 - A little'
15:04:15,Indicate the extent you have felt DETERMINED over the past week,'3 - Moderately'
15:04:18,Indicate the extent you have felt ATTENTIVE over the past week,'3 - Moderately'
15:04:25,Indicate the extent you have felt JITTERY over the past week,'2 - A little'
15:04:27,Indicate the extent you have felt ACTIVE over the past week,'4 - Quite a bit'
15:04:29,Indicate the extent you have felt AFRAID over the past week,'2 - A little'
15:04:32,Indicate the extent you have felt EXCITED over the past week,'4 - Quite a bit'
15:04:34,Indicate the extent you have felt UPSET over the past week,'2 - A little'
15:04:38,Indicate the extent you have felt STRONG over the past week,'3 - Moderately'
15:04:40,Indicate the extent you have felt GUILTY over the past week,'1 - Very slightly or not at all'
15:04:42,Indicate the extent you have felt SCARED over the past week,'1 - Very slightly or not at all'
15:04:43,Indicate the extent you have felt HOSTILE over the past week,'1 - Very slightly or not at all'
15:04:45,Indicate the extent you have felt ENTHUSIASTIC over the past week,'3 - Moderately'
15:04:47,Indicate the extent you have felt PROUD over the past week,'3 - Moderately'
