QuestionStartTime,SurveyQuestion,Answer
12:27:51,I finish whatever I begin.,'Very much like me'
12:27:58,My interests change from year to year.,'Not much like me'
12:28:05,I am diligent. I never give up.,'Mostly like me'
12:28:16,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Not much like me'
12:28:24,I have overcome setbacks to conquer an important challenge.,'Mostly like me'
12:28:47,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'5'
12:28:55,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'6'
12:29:08,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'5'
12:29:19,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'4'
12:29:34,Indicate the extent you have felt INTERESTED over the past week,'4 - Quite a bit'
12:29:46,Indicate the extent you have felt DISTRESSED over the past week,'2 - A little'
12:30:01,Indicate the extent you have felt IRRITABLE over the past week,'1 - Very slightly or not at all'
12:30:10,Indicate the extent you have felt ALERT over the past week,'1 - Very slightly or not at all'
12:30:17,Indicate the extent you have felt ASHAMED over the past week,'1 - Very slightly or not at all'
12:30:40,Indicate the extent you have felt INSPIRED over the past week,'2 - A little'
12:31:06,Indicate the extent you have felt NERVOUS over the past week,'1 - Very slightly or not at all'
12:31:09,Indicate the extent you have felt DETERMINED over the past week,'2 - A little'
12:31:17,Indicate the extent you have felt ATTENTIVE over the past week,'3 - Moderately'
12:31:48,Indicate the extent you have felt JITTERY over the past week,'1 - Very slightly or not at all'
12:31:59,Indicate the extent you have felt ACTIVE over the past week,'5 - Extremely'
12:32:16,Indicate the extent you have felt AFRAID over the past week,'1 - Very slightly or not at all'
12:32:23,Indicate the extent you have felt EXCITED over the past week,'5 - Extremely'
12:32:29,Indicate the extent you have felt UPSET over the past week,'1 - Very slightly or not at all'
12:32:38,Indicate the extent you have felt STRONG over the past week,'4 - Quite a bit'
12:32:43,Indicate the extent you have felt GUILTY over the past week,'1 - Very slightly or not at all'
12:32:45,Indicate the extent you have felt SCARED over the past week,'1 - Very slightly or not at all'
12:32:49,Indicate the extent you have felt HOSTILE over the past week,'1 - Very slightly or not at all'
12:32:56,Indicate the extent you have felt ENTHUSIASTIC over the past week,'3 - Moderately'
12:33:00,Indicate the extent you have felt PROUD over the past week,'3 - Moderately'
12:33:10, At the end of my work day I am exhausted,'3 - Sometimes'
12:33:34,"I find it hard to show interest in other people, when I have just come home from work",'2 - Rarely'
12:33:46,It takes me over an hour before I am fully recovered after a work day,'1 - Never'
