QuestionStartTime,SurveyQuestion,Answer
17:13:01,New ideas and projects sometimes distract me from previous ones.,'Mostly like me'
17:13:12,Setbacks don’t discourage me. I don’t give up easily.,'Mostly like me'
17:13:18,I often set a goal but later choose to pursue a different one.,'Somewhat like me'
17:13:20,I am a hard worker.,'Very much like me'
17:13:28,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Not much like me'
17:13:32,I finish whatever I begin.,'Mostly like me'
17:13:36,My interests change from year to year.,'Very much like me'
17:13:40,I am diligent. I never give up.,'Mostly like me'
17:13:46,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Somewhat like me'
17:13:50,I have overcome setbacks to conquer an important challenge.,'Very much like me'
17:13:59,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'5'
17:14:05,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'5'
17:14:14,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'4'
17:14:23,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'1'
17:14:35,Indicate the extent you have felt INTERESTED over the past week,'4 - Quite a bit'
17:14:40,Indicate the extent you have felt DISTRESSED over the past week,'3 - Moderately'
17:14:42,Indicate the extent you have felt IRRITABLE over the past week,'2 - A little'
17:14:45,Indicate the extent you have felt ALERT over the past week,'4 - Quite a bit'
17:14:47,Indicate the extent you have felt ASHAMED over the past week,'1 - Very slightly or not at all'
17:14:49,Indicate the extent you have felt INSPIRED over the past week,'4 - Quite a bit'
17:14:52,Indicate the extent you have felt NERVOUS over the past week,'2 - A little'
17:14:55,Indicate the extent you have felt DETERMINED over the past week,'5 - Extremely'
17:14:58,Indicate the extent you have felt ATTENTIVE over the past week,'4 - Quite a bit'
17:15:02,Indicate the extent you have felt JITTERY over the past week,'3 - Moderately'
17:15:04,Indicate the extent you have felt ACTIVE over the past week,'4 - Quite a bit'
17:15:07,Indicate the extent you have felt AFRAID over the past week,'2 - A little'
17:15:11,Indicate the extent you have felt EXCITED over the past week,'4 - Quite a bit'
17:15:13,Indicate the extent you have felt UPSET over the past week,'2 - A little'
17:15:16,Indicate the extent you have felt STRONG over the past week,'4 - Quite a bit'
17:15:18,Indicate the extent you have felt GUILTY over the past week,'1 - Very slightly or not at all'
17:15:22,Indicate the extent you have felt SCARED over the past week,'3 - Moderately'
17:15:24,Indicate the extent you have felt HOSTILE over the past week,'1 - Very slightly or not at all'
17:15:26,Indicate the extent you have felt ENTHUSIASTIC over the past week,'4 - Quite a bit'
17:15:29,Indicate the extent you have felt PROUD over the past week,'4 - Quite a bit'
17:16:00, At the end of my work day I am exhausted,'4 - Generally'
17:16:10,"I find it hard to show interest in other people, when I have just come home from work",'2 - Rarely'
17:16:15,It takes me over an hour before I am fully recovered after a work day,'4 - Generally'
