QuestionStartTime,SurveyQuestion,Answer
11:27:32,New ideas and projects sometimes distract me from previous ones.,'Somewhat like me'
11:27:36,Setbacks don’t discourage me. I don’t give up easily.,'Very much like me'
11:27:41,I often set a goal but later choose to pursue a different one.,'Not much like me'
11:27:44,I am a hard worker.,'Very much like me'
11:27:49,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Not much like me'
11:27:51,I finish whatever I begin.,'Very much like me'
11:27:54,My interests change from year to year.,'Not much like me'
11:27:56,I am diligent. I never give up.,'Very much like me'
11:28:02,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Not like me at all'
11:28:06,I have overcome setbacks to conquer an important challenge.,'Mostly like me'
11:28:17,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'6'
11:28:21,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'5'
11:28:31,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'5'
11:28:42,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'2'
11:28:50,Indicate the extent you have felt INTERESTED over the past week,'3 - Moderately'
11:28:54,Indicate the extent you have felt DISTRESSED over the past week,'2 - A little'
11:28:57,Indicate the extent you have felt IRRITABLE over the past week,'1 - Very slightly or not at all'
11:29:00,Indicate the extent you have felt ALERT over the past week,'1 - Very slightly or not at all'
11:29:01,Indicate the extent you have felt ASHAMED over the past week,'1 - Very slightly or not at all'
11:29:05,Indicate the extent you have felt INSPIRED over the past week,'3 - Moderately'
11:29:10,Indicate the extent you have felt NERVOUS over the past week,'1 - Very slightly or not at all'
11:29:14,Indicate the extent you have felt DETERMINED over the past week,'3 - Moderately'
11:29:18,Indicate the extent you have felt ATTENTIVE over the past week,'3 - Moderately'
11:29:21,Indicate the extent you have felt JITTERY over the past week,'2 - A little'
11:29:24,Indicate the extent you have felt ACTIVE over the past week,'5 - Extremely'
11:29:26,Indicate the extent you have felt AFRAID over the past week,'1 - Very slightly or not at all'
11:29:29,Indicate the extent you have felt EXCITED over the past week,'3 - Moderately'
11:29:30,Indicate the extent you have felt UPSET over the past week,'1 - Very slightly or not at all'
11:29:34,Indicate the extent you have felt STRONG over the past week,'3 - Moderately'
11:29:35,Indicate the extent you have felt GUILTY over the past week,'1 - Very slightly or not at all'
11:29:36,Indicate the extent you have felt SCARED over the past week,'1 - Very slightly or not at all'
11:29:38,Indicate the extent you have felt HOSTILE over the past week,'1 - Very slightly or not at all'
11:29:40,Indicate the extent you have felt ENTHUSIASTIC over the past week,'3 - Moderately'
11:29:42,Indicate the extent you have felt PROUD over the past week,'3 - Moderately'
11:29:48, At the end of my work day I am exhausted,'4 - Generally'
11:29:55,"I find it hard to show interest in other people, when I have just come home from work",'3 - Sometimes'
11:29:59,It takes me over an hour before I am fully recovered after a work day,'4 - Generally'
