QuestionStartTime,SurveyQuestion,Answer
16:56:03,New ideas and projects sometimes distract me from previous ones.,'Mostly like me'
16:56:08,Setbacks don’t discourage me. I don’t give up easily.,'Mostly like me'
16:56:14,I often set a goal but later choose to pursue a different one.,'Mostly like me'
16:56:15,I am a hard worker.,'Very much like me'
16:56:20,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Mostly like me'
16:56:24,I finish whatever I begin.,'Mostly like me'
16:56:28,My interests change from year to year.,'Very much like me'
16:56:31,I am diligent. I never give up.,'Mostly like me'
16:56:39,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Somewhat like me'
16:56:45,I have overcome setbacks to conquer an important challenge.,'Mostly like me'
16:56:57,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'6'
16:57:02,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'6'
16:57:10,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'6'
16:57:17,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'2'
16:57:25,Indicate the extent you have felt INTERESTED over the past week,'4 - Quite a bit'
16:57:28,Indicate the extent you have felt DISTRESSED over the past week,'3 - Moderately'
16:57:31,Indicate the extent you have felt IRRITABLE over the past week,'4 - Quite a bit'
16:57:33,Indicate the extent you have felt ALERT over the past week,'5 - Extremely'
16:57:36,Indicate the extent you have felt ASHAMED over the past week,'1 - Very slightly or not at all'
16:57:38,Indicate the extent you have felt INSPIRED over the past week,'5 - Extremely'
16:57:40,Indicate the extent you have felt NERVOUS over the past week,'2 - A little'
16:57:42,Indicate the extent you have felt DETERMINED over the past week,'4 - Quite a bit'
16:57:44,Indicate the extent you have felt ATTENTIVE over the past week,'4 - Quite a bit'
16:57:47,Indicate the extent you have felt JITTERY over the past week,'3 - Moderately'
16:57:50,Indicate the extent you have felt ACTIVE over the past week,'4 - Quite a bit'
16:57:52,Indicate the extent you have felt AFRAID over the past week,'2 - A little'
16:57:54,Indicate the extent you have felt EXCITED over the past week,'4 - Quite a bit'
16:57:56,Indicate the extent you have felt UPSET over the past week,'2 - A little'
16:57:59,Indicate the extent you have felt STRONG over the past week,'3 - Moderately'
16:58:01,Indicate the extent you have felt GUILTY over the past week,'1 - Very slightly or not at all'
16:58:03,Indicate the extent you have felt SCARED over the past week,'2 - A little'
16:58:05,Indicate the extent you have felt HOSTILE over the past week,'2 - A little'
16:58:07,Indicate the extent you have felt ENTHUSIASTIC over the past week,'4 - Quite a bit'
16:58:09,Indicate the extent you have felt PROUD over the past week,'3 - Moderately'
16:58:16, At the end of my work day I am exhausted,'4 - Generally'
16:58:22,"I find it hard to show interest in other people, when I have just come home from work",'3 - Sometimes'
16:58:28,It takes me over an hour before I am fully recovered after a work day,'4 - Generally'
