QuestionStartTime,SurveyQuestion,Answer
15:35:50,New ideas and projects sometimes distract me from previous ones.,'Somewhat like me'
15:35:58,Setbacks don’t discourage me. I don’t give up easily.,'Mostly like me'
15:36:03,I often set a goal but later choose to pursue a different one.,'Somewhat like me'
15:36:06,I am a hard worker.,'Somewhat like me'
15:36:16,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Not much like me'
15:36:20,I finish whatever I begin.,'Somewhat like me'
15:36:25,My interests change from year to year.,'Not much like me'
15:36:32,I am diligent. I never give up.,'Somewhat like me'
15:36:40,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Not much like me'
15:36:47,I have overcome setbacks to conquer an important challenge.,'Mostly like me'
15:37:03,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'6'
15:37:11,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'5'
15:37:23,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'5'
15:37:34,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'2'
15:37:56,Indicate the extent you have felt INTERESTED over the past week,'4 - Quite a bit'
15:38:01,Indicate the extent you have felt DISTRESSED over the past week,'3 - Moderately'
15:38:08,Indicate the extent you have felt IRRITABLE over the past week,'3 - Moderately'
15:38:12,Indicate the extent you have felt ALERT over the past week,'4 - Quite a bit'
15:38:16,Indicate the extent you have felt ASHAMED over the past week,'1 - Very slightly or not at all'
15:38:19,Indicate the extent you have felt INSPIRED over the past week,'5 - Extremely'
15:38:22,Indicate the extent you have felt NERVOUS over the past week,'4 - Quite a bit'
15:38:26,Indicate the extent you have felt DETERMINED over the past week,'4 - Quite a bit'
15:38:28,Indicate the extent you have felt ATTENTIVE over the past week,'3 - Moderately'
15:38:31,Indicate the extent you have felt JITTERY over the past week,'3 - Moderately'
15:38:34,Indicate the extent you have felt ACTIVE over the past week,'3 - Moderately'
15:38:40,Indicate the extent you have felt AFRAID over the past week,'4 - Quite a bit'
15:38:45,Indicate the extent you have felt EXCITED over the past week,'4 - Quite a bit'
15:38:48,Indicate the extent you have felt UPSET over the past week,'2 - A little'
15:38:53,Indicate the extent you have felt STRONG over the past week,'2 - A little'
15:38:56,Indicate the extent you have felt GUILTY over the past week,'2 - A little'
15:39:02,Indicate the extent you have felt SCARED over the past week,'2 - A little'
15:39:05,Indicate the extent you have felt HOSTILE over the past week,'1 - Very slightly or not at all'
15:39:08,Indicate the extent you have felt ENTHUSIASTIC over the past week,'3 - Moderately'
15:39:10,Indicate the extent you have felt PROUD over the past week,'4 - Quite a bit'
15:39:34, At the end of my work day I am exhausted,'4 - Generally'
15:39:45,"I find it hard to show interest in other people, when I have just come home from work",'2 - Rarely'
15:39:52,It takes me over an hour before I am fully recovered after a work day,'3 - Sometimes'
