QuestionStartTime,SurveyQuestion,Answer
15:08:26,New ideas and projects sometimes distract me from previous ones.,'Somewhat like me'
15:08:31,Setbacks don’t discourage me. I don’t give up easily.,'Mostly like me'
15:08:36,I often set a goal but later choose to pursue a different one.,'Not much like me'
15:08:39,I am a hard worker.,'Somewhat like me'
15:08:45,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Not much like me'
15:08:48,I finish whatever I begin.,'Somewhat like me'
15:08:52,My interests change from year to year.,'Mostly like me'
15:08:57,I am diligent. I never give up.,'Somewhat like me'
15:09:38,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Not much like me'
15:09:43,I have overcome setbacks to conquer an important challenge.,'Very much like me'
15:10:05,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'5'
15:10:13,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'4'
15:10:24,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'4'
15:10:28,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'4'
15:10:45,Indicate the extent you have felt INTERESTED over the past week,'5 - Extremely'
15:10:50,Indicate the extent you have felt DISTRESSED over the past week,'4 - Quite a bit'
15:10:53,Indicate the extent you have felt IRRITABLE over the past week,'3 - Moderately'
15:10:55,Indicate the extent you have felt ALERT over the past week,'4 - Quite a bit'
15:10:58,Indicate the extent you have felt ASHAMED over the past week,'2 - A little'
15:11:00,Indicate the extent you have felt INSPIRED over the past week,'4 - Quite a bit'
15:11:03,Indicate the extent you have felt NERVOUS over the past week,'4 - Quite a bit'
15:11:05,Indicate the extent you have felt DETERMINED over the past week,'5 - Extremely'
15:11:09,Indicate the extent you have felt ATTENTIVE over the past week,'3 - Moderately'
15:11:13,Indicate the extent you have felt JITTERY over the past week,'3 - Moderately'
15:11:16,Indicate the extent you have felt ACTIVE over the past week,'4 - Quite a bit'
15:11:18,Indicate the extent you have felt AFRAID over the past week,'3 - Moderately'
15:11:20,Indicate the extent you have felt EXCITED over the past week,'4 - Quite a bit'
15:11:24,Indicate the extent you have felt UPSET over the past week,'3 - Moderately'
15:11:26,Indicate the extent you have felt STRONG over the past week,'3 - Moderately'
15:11:28,Indicate the extent you have felt GUILTY over the past week,'3 - Moderately'
15:11:30,Indicate the extent you have felt SCARED over the past week,'3 - Moderately'
15:11:32,Indicate the extent you have felt HOSTILE over the past week,'1 - Very slightly or not at all'
15:11:36,Indicate the extent you have felt ENTHUSIASTIC over the past week,'3 - Moderately'
15:11:37,Indicate the extent you have felt PROUD over the past week,'3 - Moderately'
15:11:53, At the end of my work day I am exhausted,'3 - Sometimes'
15:12:07,"I find it hard to show interest in other people, when I have just come home from work",'2 - Rarely'
15:12:12,It takes me over an hour before I am fully recovered after a work day,'3 - Sometimes'
